,id,Адрес,Название отеля en,Общая оценка,Кол-во отзывов,Расположение,Номера,Цена/качество,Чистота,Обслуживание,Класс отеля,СТИЛЬ ОТЕЛЯ,"Языки, используемые в общении",Услуги и удобства в отеле,Оснащенность номера,Типы номеров,Название_отеля,Качество сна,adress_for_scrap,Широта,Долгота
0,0,"Hudavendigar Cd. No:5, Стамбул 34110 Турция",Romance Istanbul Hotel,"5,0",5163 отзыва,"5,0 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","5,0 из 5 кружков","4,0 из 5 звезд","['Романтический', 'Очаровательный']","['Русский, Английский, Турецкий']","['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатный завтрак', 'Бесплатное размещение для детей', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Крытый бассейн', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Буфет с детским меню', 'Меню для гостей, придерживающихся специальной диеты', 'Услуги такси', 'Банкетный зал', 'Спа-комплекс', 'Массаж для двоих', 'Массаж всего тела', 'Хаммам', 'Массаж', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Услуги дворецкого', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Звукоизоляция номеров', 'Кондиционер', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'ТВ с плоским экраном', 'VIP-номера', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Холодильник']","['Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",1. Romance Istanbul Hotel,,"Romance Istanbul Hotel, Istanbul, Turkiye",41.0126607,28.9779806
1,1,"Saray Cd No: 5, Стамбул 34353 Турция",Conrad Istanbul Bosphorus,"5,0",9369 отзывов,"4,5 из 5 кружков","4,5 из 5 кружков","4,4 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","5,0 из 5 звезд","['Вид на город', 'С видом на гавань']","['Английский, Французский, Арабский, Немецкий и еще 1']","['Услуга парковки автомобиля сотрудником отеля', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Теннисный корт', 'Бесплатное размещение для детей', 'Услуги няни', 'Платная частная парковка на территории', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Фитнес-залы', 'Персональный тренер', 'Сауна', 'Пляжные полотенца', 'Бассейн с красивым видом', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн с подогревом', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Буфет с детским меню', 'Детское меню', 'Меню для гостей, придерживающихся специальной диеты', 'Вино/шампанское', 'Бар у бассейна', 'Бар на крыше', 'Детские ТВ-сети', 'Высокие детские стульчики', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Аренда автомобилей', 'Услуги такси', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Обертывание', 'Массаж для двоих', 'Косметические процедуры для лица', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Услуги макияжа', 'Маникюр', 'Массаж', 'Массаж шеи', 'Педикюр', 'Салон красоты', 'Парная', 'Услуги восковой эпиляции', 'Терраса на крыше', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Магазин товаров первой необходимости', 'Сувенирный магазин', 'Газеты', 'Магазины', 'Терраса для солнечных ванн', 'Терраса-солярий', 'Зонты от солнца', 'Банкомат на территории', 'Швейцар', 'Аптечка', 'Зонт', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки', 'Чистка обуви']","['Гипоаллергенный номер', 'Шторы, блокирующие свет', 'Дополнительная ванная комната', 'Письменный стол', 'Уборка номеров', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Ванна/душ', 'Звукоизоляция номеров', 'Купальные халаты', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на океан', 'С видом на город', 'Вид на культурный объект', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",2. Конрад Стамбул,,"Conrad Istanbul Bosphorus, Istanbul, Turkiye",41.04713425,29.009457647429414
2,2,"Silahsor Cad. No 42, Стамбул 34381 Турция",Hilton Istanbul Bomonti Hotel & Conference Center,"5,0",8565 отзывов,"4,3 из 5 кружков","4,8 из 5 кружков","4,6 из 5 кружков","4,8 из 5 кружков","4,7 из 5 кружков","5,0 из 5 звезд","['Бизнес-класс', 'Вид на город']","['Русский, Английский, Французский, Испанский и еще 3']","['Услуга парковки автомобиля сотрудником отеля', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Аниматоры', 'Бесплатное размещение для детей', 'Детские ТВ-сети', 'Платная частная парковка на территории', 'Wi-Fi', 'Зал для занятий йогой', 'Раздевалки в фитнес- и спа-центрах', 'Фитнес-залы', 'Персональный тренер', 'Сауна', 'Джакузи', 'Пляжные полотенца', 'Бассейн для взрослых', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн с подогревом', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Счастливый час', 'Буфет с детским меню', 'Детское меню', 'Обеденная зона на открытом воздухе', 'Буфет', 'Бар у бассейна', 'Бар на крыше', 'Детский бассейн', 'Трансфер из/до аэропорта', 'Аренда автомобилей', 'Услуги такси', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Массаж для двоих', 'Косметические процедуры для лица', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Маникюр', 'Массаж', 'Массаж шеи', 'Педикюр', 'Салон красоты', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Часовня/храм', 'Консьерж', 'Доступ к гостиной представительского класса', 'Сувенирный магазин', 'Отель для некурящих', 'Магазины', 'Банкомат на территории', 'Услуги дворецкого', 'Швейцар', 'Аптечка', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Шторы, блокирующие свет', 'Кондиционер', 'Дополнительная ванная комната', 'Письменный стол', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Биде', 'Звукоизоляция номеров', 'Очиститель воздуха', 'Купальные халаты', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Отдельная обеденная зона', 'Отдельная гостиная', 'Диван', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Услуга побудки/будильник', 'Мини-бар', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Душевая кабина без поддона на полу', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",3. Хилтон Стамбул Бомонти Отель & Конференц-центр,,"Hilton Istanbul Bomonti Hotel & Conference Center, Istanbul, Turkiye",41.0587869,28.979365053292973
3,3,"Mimar Sinan Caddesi No: 35 G Tower, Стамбул 34209 Турция",The G Hotels Istanbul,"4,5",296 отзывов,"4,3 из 5 кружков","4,5 из 5 кружков","4,8 из 5 кружков","4,3 из 5 кружков","4,8 из 5 кружков","5,0 из 5 звезд","['Вид на город', 'Бизнес-класс']","['Русский, Английский, Испанский, Арабский и еще 1']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатный завтрак', 'Бесплатное размещение для детей', 'Высокие детские стульчики', 'Трансфер из/до аэропорта', 'Услуга парковки автомобиля сотрудником отеля', 'Wi-Fi', 'Сауна', 'Бассейн с красивым видом', 'Бассейн для взрослых', 'Крытый бассейн', 'Бассейн с подогревом', 'Индивидуальный бассейн', 'Бар/лаунж', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Вино/шампанское', 'Торговый автомат', 'Услуги такси', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Массаж всего тела', 'Хаммам', 'Услуги макияжа', 'Маникюр', 'Массаж', 'Парная', 'Хранение багажа', 'Консьерж', 'Уличная мебель', 'Общая зона для отдыха/просмотра ТВ', 'Магазины', 'Банкомат на территории', 'Аптечка', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Купальные халаты', 'Кондиционер', 'Письменный стол', 'Уборка номеров', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Диван-кровать', 'Душевая кабина без поддона на полу', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Отдельная гостиная', 'Диван', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Услуга побудки/будильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",4. The G Hotels Istanbul,,"The G Hotels Istanbul, Istanbul, Turkiye",,
4,4,"Ebusuud Cad. Mehmet Murat Sokak No: 4, Стамбул 34110 Турция",Hotel Sultania,"5,0",5263 отзыва,"4,9 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","4,0 из 5 звезд","['Романтический', 'Расположение в центре']","['Русский, Английский, Французский, Арабский и еще 2']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Бесплатное размещение для детей', 'Книги, DVD, музыка для детей', 'Трансфер из/до аэропорта', 'Парковка', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Крытый бассейн', 'Бассейн с подогревом', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Буфет с детским меню', 'Меню для гостей, придерживающихся специальной диеты', 'Бар на крыше', 'Высокие детские стульчики', 'Прогулочные коляски', 'Аренда автомобилей', 'Услуги такси', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Косметические процедуры для лица', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж головы', 'Массаж', 'Парная', 'Терраса на крыше', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Отель для некурящих', 'Услуги дворецкого', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Отдельный балкон', 'Обслуживание номеров', 'Мини-бар', 'ТВ с плоским экраном', 'Сейф', 'VIP-номера', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Холодильник']","['Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",5. Отель Султания,,"Hotel Sultania, Istanbul, Turkiye",41.0126397,28.9775546
5,5,"Kaleci Sk. No:24 Küçük Ayasofya, Стамбул 34122 Турция",Acacia Mansion Hotel,"5,0",365 отзывов,"4,9 из 5 кружков","4,8 из 5 кружков","4,8 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","3,0 из 5 звезд","['Необычный', 'Расположение в центре']","['Русский, Английский, Арабский, Азербайджанский и еще 1']","['Платная общественная парковка на территории', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Бесплатное размещение для детей', 'Трансфер из/до аэропорта', 'Хранение багажа', 'Консьерж', 'Заезд круглосуточно', 'Охраняемая парковка', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Завтрак по типу ""шведский стол""', 'Автобусный трансфер', 'Услуги такси', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной']","['Кондиционер', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Мини-бар', 'Электрический чайник', 'Кабельное или спутниковое ТВ', 'Ванна/душ', 'Сейф', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Напольная вешалка для одежды', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Номера для некурящих', 'Номера-люксы']",6. Acacia Mansion Hotel,,"Acacia Mansion Hotel, Istanbul, Turkiye",41.00357323759698,28.973132429448686
6,6,"Albay F Sozdener Cd 31 Caferaga Mah., Стамбул 34710 Турция",DoubleTree by Hilton Istanbul - Moda,"4,5",2160 отзывов,"4,6 из 5 кружков","4,4 из 5 кружков","4,2 из 5 кружков","4,6 из 5 кружков","4,4 из 5 кружков","5,0 из 5 звезд","['С видом на пристань', 'С видом на бухту']","['Английский, Французский, Турецкий']","['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Патио', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Джакузи', 'Бассейн на крыше', 'Бассейн с красивым видом', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн с подогревом', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бар у бассейна', 'Бар на крыше', 'Услуги такси', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Массаж для двоих', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж', 'Парная', 'Терраса на крыше', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Отель для некурящих', 'Терраса для солнечных ванн', 'Шезлонги/пляжные кресла', 'Терраса-солярий', 'Зонты от солнца', 'Швейцар', 'Аптечка', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Купальные халаты', 'Кондиционер', 'Письменный стол', 'Имеются номера с сообщающимися комнатами', 'Мини-бар', 'ТВ с плоским экраном', 'Джакузи', 'Обслуживание номеров', 'Сейф', 'Диван', 'Телефон', 'VIP-номера', 'Утюг', 'Услуга побудки/будильник', 'Холодильник', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на океан', 'С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",7. Даблтри Хилтон Стамбул - Мода,,"DoubleTree by Hilton Istanbul - Moda, Istanbul, Turkiye",40.988388,29.021352362135595
7,7,"Istanbul Airport (airside) Terminal Caddesi No:1, Стамбул 34283 Турция",YOTELAIR Istanbul Airport  - Airside,"4,0",1053 отзыва,"4,7 из 5 кружков","4,2 из 5 кружков","3,5 из 5 кружков","4,5 из 5 кружков","4,1 из 5 кружков","2,0 из 5 звезд",,"['Английский, Турецкий']","['Платная частная парковка на территории', 'Бесплатный WiFi', 'Фитнес-центр', 'Бар/лаунж', 'Услуги няни', 'Подходит для детей / семьи', 'Питомцы разрешены', 'Бизнес-центр с Wi-Fi', 'Wi-Fi', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Торговый автомат', 'Круглосуточная охрана', 'Отель для некурящих', 'Круглосуточная работа стойки регистрации']","['Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Телефон', 'Напольная вешалка для одежды', 'Сейф для ноутбука', 'Услуга побудки/будильник']","['Номера для некурящих', 'Семейные номера']",8. YOTELAIR Istanbul Airport  - Airside,,"YOTELAIR Istanbul Airport  - Airside, Istanbul, Turkiye",41.2608422,28.7398398
8,8,"Mesrutiyet Cad. Tepebasi, No:52, Стамбул 34430 Турция",Pera Palace Hotel,"4,5",2232 отзыва,"4,6 из 5 кружков","4,5 из 5 кружков","4,2 из 5 кружков","4,7 из 5 кружков","4,6 из 5 кружков","5,0 из 5 звезд","['Классический', 'Исторический отель']","['Русский, Английский, Немецкий, Турецкий']","['Услуга парковки автомобиля сотрудником отеля', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Патио', 'Высокие детские стульчики', 'Трансфер из/до аэропорта', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Крытый бассейн', 'Бассейн с подогревом', 'Ресторан', 'Завтрак в номере', 'Услуги такси', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Косметические процедуры для лица', 'Хаммам', 'Массаж', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Отель для некурящих', 'Услуги дворецкого', 'Швейцар', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Кондиционер', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном', 'VIP-номера']","['Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']","9. Пера Палас Отель, Джумейра",,"Pera Palace Hotel, Istanbul, Turkiye",41.031048150000004,28.973474266676423
9,9,"Hocahanı Sok. No:10, Стамбул 34112 Турция",Demiray Hotel Old City,"5,0",468 отзывов,"4,8 из 5 кружков","4,8 из 5 кружков","4,8 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","5,0 из 5 звезд","['Вид на город', 'Романтический']","['Русский, Английский, Арабский, Болгарский и еще 3']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Фитнес-центр', 'Крытый бассейн', 'Бесплатный завтрак', 'Детский бассейн', 'Высокие детские стульчики', 'Трансфер из/до аэропорта', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Бассейн с подогревом', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Бесплатный приветственный напиток', 'Бар на крыше', 'Аренда автомобилей', 'Услуги такси', 'Помещения для проведения конференций', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Массаж для двоих', 'Косметические процедуры для лица', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Терраса на крыше', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Доступ к гостиной представительского класса', 'Сувенирный магазин', 'Отель для некурящих', 'Общая зона для отдыха/просмотра ТВ', 'Швейцар', 'Аптечка', 'Медпункт', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки', 'Чистка обуви']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Диван-кровать', 'Душевая кабина без поддона на полу', 'Купальные халаты', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Услуга побудки/будильник', 'Мини-бар', 'Электрический чайник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на океан', 'С видом на город', 'Вид на культурный объект', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",10. Demiray Hotel Old City,,"Demiray Hotel Old City, Istanbul, Turkiye",,
